Vulnerability_ID     Package    Severity
CVE-2018-7740   kernel-headers   High
CVE-2018-7757   kernel-headers   High
CVE-2018-8781   kernel-headers   High
CVE-2018-10322   kernel-headers   High
CVE-2018-10878   kernel-headers   High
CVE-2018-10879   kernel-headers   High
CVE-2018-10881   kernel-headers   High
CVE-2018-10883   kernel-headers   High
CVE-2018-10902   kernel-headers   High
CVE-2018-10940   kernel-headers   High
CVE-2018-13405   kernel-headers   High
CVE-2018-18690   kernel-headers   High
CVE-2018-1000026   kernel-headers   High
CVE-2019-1125   kernel-headers   High
CVE-2019-9500   kernel-headers   High
CVE-2017-1000405   kernel-headers   High
CVE-2018-9568   kernel-headers   High
CVE-2018-17972   kernel-headers   High
CVE-2018-18445   kernel-headers   High
CVE-2017-7533   kernel-headers   High
CVE-2015-8767   kernel-headers   High
CVE-2016-4565   kernel-headers   High
CVE-2019-14835   kernel-headers   High
CVE-2015-5277   glibc   High
CVE-2016-2177   openssl-libs   High
CVE-2016-2178   openssl-libs   High
CVE-2016-2179   openssl-libs   High
CVE-2016-2180   openssl-libs   High
CVE-2016-2181   openssl-libs   High
CVE-2016-2182   openssl-libs   High
CVE-2016-6302   openssl-libs   High
CVE-2016-6304   openssl-libs   High
CVE-2016-6306   openssl-libs   High
CVE-2016-0799   openssl-libs   High
CVE-2016-2105   openssl-libs   High
CVE-2016-2106   openssl-libs   High
CVE-2016-2107   openssl-libs   High
CVE-2016-2108   openssl-libs   High
CVE-2016-2109   openssl-libs   High
CVE-2016-2842   openssl-libs   High
CVE-2016-7910   kernel-headers   High
CVE-2016-8646   kernel-headers   High
CVE-2016-10208   kernel-headers   High
CVE-2017-5986   kernel-headers   High
CVE-2017-7308   kernel-headers   High
CVE-2015-3197   openssl-libs   High
CVE-2016-0702   openssl-libs   High
CVE-2016-0705   openssl-libs   High
CVE-2016-0797   openssl-libs   High
CVE-2016-0800   openssl-libs   High
CVE-2015-2328   pcre   High
CVE-2015-3217   pcre   High
CVE-2015-5073   pcre   High
CVE-2015-8385   pcre   High
CVE-2015-8386   pcre   High
CVE-2015-8388   pcre   High
CVE-2015-8391   pcre   High
CVE-2016-3191   pcre   High
CVE-2018-18311   perl-libs   High
CVE-2016-1762   libxml2   High
CVE-2016-1833   libxml2   High
CVE-2016-1834   libxml2   High
CVE-2016-1835   libxml2   High
CVE-2016-1836   libxml2   High
CVE-2016-1837   libxml2   High
CVE-2016-1838   libxml2   High
CVE-2016-1839   libxml2   High
CVE-2016-1840   libxml2   High
CVE-2016-3627   libxml2   High
CVE-2016-3705   libxml2   High
CVE-2016-4447   libxml2   High
CVE-2016-4448   libxml2   High
CVE-2016-4449   libxml2   High
CVE-2017-7805   nss-sysinit   High
CVE-2019-10160   python   High
CVE-2018-18397   kernel-headers   High
CVE-2018-18559   kernel-headers   High
CVE-2019-9636   python   High
CVE-2017-7502   nss-tools   High
CVE-2018-12020   gnupg2   High
CVE-2018-17456   git   High
CVE-2017-1000117   git   High
CVE-2018-11235   git   High
CVE-2016-2315   git   High
CVE-2016-2324   git   High
CVE-2019-12735   vim-minimal   High
CVE-2017-18202   kernel-headers   High
CVE-2018-12126   kernel-headers   High
CVE-2018-12127   kernel-headers   High
CVE-2018-12130   kernel-headers   High
CVE-2019-11091   kernel-headers   High
CVE-2015-6908   openldap   High
CVE-2019-3855   libssh2   High
CVE-2019-3856   libssh2   High
CVE-2019-3857   libssh2   High
CVE-2019-3863   libssh2   High
CVE-2018-1124   procps-ng   High
CVE-2018-1126   procps-ng   High
CVE-2018-14633   kernel-headers   Medium
CVE-2018-14646   kernel-headers   Medium
CVE-2017-14503   libarchive   Medium
CVE-2018-1000877   libarchive   Medium
CVE-2018-1000878   libarchive   Medium
CVE-2019-1000019   libarchive   Medium
CVE-2019-1000020   libarchive   Medium
CVE-2015-9381   libcroco   Medium
CVE-2015-9382   libcroco   Medium
CVE-2017-18267   libcroco   Medium
CVE-2018-10733   libcroco   Medium
CVE-2018-10767   libcroco   Medium
CVE-2018-10768   libcroco   Medium
CVE-2018-12910   libcroco   Medium
CVE-2018-13988   libcroco   Medium
CVE-2018-1122   procps-ng   Medium
CVE-2015-3414   sqlite   Medium
CVE-2015-3415   sqlite   Medium
CVE-2015-3416   sqlite   Medium
CVE-2016-6313   libgcrypt   Medium
CVE-2013-1752   python-libs   Medium
CVE-2013-1753   python-libs   Medium
CVE-2014-4616   python-libs   Medium
CVE-2014-4650   python-libs   Medium
CVE-2014-7185   python-libs   Medium
CVE-2018-0495   openssl-libs   Medium
CVE-2018-12404   nss-util   Medium
CVE-2018-14647   python-libs   Medium
CVE-2019-5010   python-libs   Medium
CVE-2019-9740   python-libs   Medium
CVE-2019-9947   python-libs   Medium
CVE-2019-9948   python-libs   Medium
CVE-2016-0772   python-libs   Medium
CVE-2016-5699   python-libs   Medium
CVE-2016-1000110   python-libs   Medium
CVE-2016-1978   nss-util   Medium
CVE-2016-1979   nss-util   Medium
CVE-2018-1060   python-libs   Medium
CVE-2018-1061   python-libs   Medium
CVE-2016-2183   python-libs   Medium
CVE-2018-12641   binutils   Medium
CVE-2018-12697   binutils   Medium
CVE-2018-1000876   binutils   Medium
CVE-2014-9365   python-libs   Medium
CVE-2014-3613   libcurl   Medium
CVE-2014-3707   libcurl   Medium
CVE-2014-8150   libcurl   Medium
CVE-2015-3143   libcurl   Medium
CVE-2015-3148   libcurl   Medium
CVE-2017-1000257   libcurl   Medium
CVE-2017-16997   glibc-devel   Medium
CVE-2018-6485   glibc-devel   Medium
CVE-2018-11236   glibc-devel   Medium
CVE-2018-11237   glibc-devel   Medium
CVE-2018-1000007   libcurl   Medium
CVE-2018-1000120   libcurl   Medium
CVE-2018-1000121   libcurl   Medium
CVE-2018-1000122   libcurl   Medium
CVE-2018-1000301   libcurl   Medium
CVE-2016-7167   libcurl   Medium
CVE-2014-8484   binutils   Medium
CVE-2014-8485   binutils   Medium
CVE-2014-8501   binutils   Medium
CVE-2014-8502   binutils   Medium
CVE-2014-8503   binutils   Medium
CVE-2014-8504   binutils   Medium
CVE-2014-8737   binutils   Medium
CVE-2014-8738   binutils   Medium
CVE-2016-5419   libcurl   Medium
CVE-2016-5420   libcurl   Medium
CVE-2016-7141   libcurl   Medium
CVE-2018-12384   nss   Medium
CVE-2016-10739   glibc-devel   Medium
CVE-2015-5600   openssh-clients   Medium
CVE-2015-6563   openssh-clients   Medium
CVE-2015-6564   openssh-clients   Medium
CVE-2019-3862   libssh2   Medium
CVE-2019-3858   libssh2   Medium
CVE-2019-3861   libssh2   Medium
CVE-2017-2616   libmount   Medium
CVE-2013-7423   glibc-devel   Medium
CVE-2015-1472   glibc-devel   Medium
CVE-2015-1473   glibc-devel   Medium
CVE-2015-1781   glibc-devel   Medium
CVE-2016-2834   nss-util   Medium
CVE-2016-5285   nss-util   Medium
CVE-2016-8635   nss-util   Medium
CVE-2016-0718   expat   Medium
CVE-2014-8182   openldap   Medium
CVE-2015-3276   openldap   Medium
CVE-2015-7575   openssl-libs   Medium
CVE-2017-9287   openldap   Medium
CVE-2015-8325   openssh   Medium
CVE-2016-0777   openssh   Medium
CVE-2016-0778   openssh   Medium
CVE-2014-0207   file   Medium
CVE-2014-0237   file   Medium
CVE-2014-0238   file   Medium
CVE-2014-3478   file   Medium
CVE-2014-3479   file   Medium
CVE-2014-3480   file   Medium
CVE-2014-3487   file   Medium
CVE-2014-3538   file   Medium
CVE-2014-3587   file   Medium
CVE-2014-3710   file   Medium
CVE-2014-8116   file   Medium
CVE-2014-8117   file   Medium
CVE-2014-9652   file   Medium
CVE-2014-9653   file   Medium
CVE-2014-9402   glibc-devel   Medium
CVE-2015-5180   glibc-devel   Medium
CVE-2017-12132   glibc-devel   Medium
CVE-2017-15670   glibc-devel   Medium
CVE-2017-15804   glibc-devel   Medium
CVE-2018-1000001   glibc-devel   Medium
CVE-2015-3238   pam   Medium
CVE-2016-1248   vim-minimal   Medium
CVE-2015-2730   nss-softokn-freebl   Medium
CVE-2014-9761   glibc-devel   Medium
CVE-2015-8776   glibc-devel   Medium
CVE-2015-8777   glibc-devel   Medium
CVE-2015-8778   glibc-devel   Medium
CVE-2015-8779   glibc-devel   Medium
CVE-2014-9938   git   Medium
CVE-2017-8386   git   Medium
CVE-2015-7545   git   Medium
CVE-2016-1908   openssh   Medium
CVE-2016-3115   openssh   Medium
CVE-2017-3736   openssl-libs   Medium
CVE-2017-3737   openssl-libs   Medium
CVE-2017-3738   openssl-libs   Medium
CVE-2015-1819   libxml2   Medium
CVE-2015-5312   libxml2   Medium
CVE-2015-7497   libxml2   Medium
CVE-2015-7498   libxml2   Medium
CVE-2015-7499   libxml2   Medium
CVE-2015-7500   libxml2   Medium
CVE-2015-7941   libxml2   Medium
CVE-2015-7942   libxml2   Medium
CVE-2015-8241   libxml2   Medium
CVE-2015-8242   libxml2   Medium
CVE-2015-8317   libxml2   Medium
CVE-2015-8710   libxml2   Medium
CVE-2015-2806   libtasn1   Medium
CVE-2015-3622   libtasn1   Medium
CVE-2016-0634   bash   Medium
CVE-2016-7543   bash   Medium
CVE-2016-9401   bash   Medium
CVE-2015-8629   krb5-libs   Medium
CVE-2015-8630   krb5-libs   Medium
CVE-2015-8631   krb5-libs   Medium
CVE-2016-6210   openssh   Medium
CVE-2016-6515   openssh   Medium
CVE-2016-10009   openssh   Medium
CVE-2016-10011   openssh   Medium
CVE-2016-10012   openssh   Medium
CVE-2016-10708   openssh   Medium
CVE-2014-5355   krb5-libs   Medium
CVE-2015-2694   krb5-libs   Medium
